tenant_history_id,property_id,locality,bhk,monthly_rent,lease_start_date,lease_end_date,occupancy_status,tenant_name,created_at
TH1200,PROP1321,Preet Vihar,3,32600,2026-01-18,2027-11-18,OCCUPIED,Ati Bali,2025-08-15 22:01:53
TH1201,PROP1852,Gurgaon Golf Course Road,1,28800,2024-03-14,2026-01-14,VACANT,Warinder Patil,2023-11-07 10:17:01
TH1202,PROP1570,Hauz Khas,3,55400,2025-08-09,2027-06-09,OCCUPIED,Darsh Rao,2024-05-18 20:27:32
TH1203,PROP1682,Greater Noida Pari Chowk,1,8000,2026-06-15,2028-04-15,OCCUPIED,Gavin Kala,2025-06-23 16:36:34
TH1204,PROP1592,Faridabad Sector 81,2,11000,2025-05-04,2027-03-04,OCCUPIED,Chandresh Nath,2024-04-13 10:43:37
TH1205,PROP1111,East Delhi,3,19100,2023-12-05,2025-10-05,OCCUPIED,Ekapad Johal,2025-04-24 01:48:27
TH1206,PROP1827,Greater Noida Pari Chowk,1,7300,2025-12-27,2027-10-27,OCCUPIED,Falguni Divan,2025-12-01 16:42:47
TH1207,PROP1280,Noida Sector 62,3,27000,2025-05-03,2026-04-03,VACANT,Maanav De,2025-03-04 11:43:28
TH1208,PROP1580,Noida Extension,1,8300,2025-12-11,2026-11-11,OCCUPIED,Atharv Deep,2023-08-06 20:18:49
TH1209,PROP1544,Rohini Sector 10,4,35300,2025-12-02,2027-10-02,OCCUPIED,Ekiya Babu,2024-01-28 11:43:43
TH1210,PROP1320,Noida Sector 76,1,12800,2023-09-16,2024-08-16,OCCUPIED,Ishaan Bhatt,2024-12-24 09:30:03
TH1211,PROP1633,Hauz Khas,1,23300,2025-11-18,2027-09-18,OCCUPIED,Siya Thakur,2024-03-20 07:41:00
TH1212,PROP1453,Greater Noida,3,15700,2025-05-24,2026-04-24,OCCUPIED,Tara Balasubramanian,2023-09-26 05:04:12
TH1213,PROP1114,Noida Sector 18,4,47100,2024-12-26,2026-10-26,OCCUPIED,Pooja Chokshi,2025-01-08 18:15:53
TH1214,PROP1405,Hauz Khas,1,22900,2026-04-12,2027-03-12,VACANT,Faris Nagy,2025-05-18 02:05:42
TH1215,PROP1783,Preet Vihar,3,28200,2023-09-30,2024-08-30,OCCUPIED,Ekta Raj,2026-07-15 09:31:55
TH1216,PROP1441,Gurgaon Sector 45,2,21400,2025-02-20,2026-01-20,OCCUPIED,Yashasvi Sani,2023-11-07 05:39:04
TH1217,PROP1854,East Delhi,1,9500,2025-08-27,2026-07-27,OCCUPIED,Qushi Seth,2026-03-20 15:54:20
TH1218,PROP1471,Lajpat Nagar,3,42800,2024-10-16,2026-08-16,OCCUPIED,Mohini Sagar,2025-09-28 00:21:06
TH1219,PROP1428,Noida Sector 18,1,16500,2024-06-27,2026-04-27,OCCUPIED,Aadhya Prasad,2026-05-31 10:25:00
TH1220,PROP1971,Ghaziabad Vasundhara,3,16400,2025-08-11,2026-07-11,OCCUPIED,Ekalinga Chand,2026-01-17 22:51:56
TH1221,PROP1604,Noida Extension,1,8900,2023-10-31,2025-08-31,OCCUPIED,Kashish De,2025-03-22 04:33:52
TH1222,PROP1227,North Delhi,2,14400,2025-04-23,2026-03-23,OCCUPIED,Jason Roy,2024-08-12 00:11:42
TH1223,PROP1199,East Delhi,3,22100,2025-07-18,2026-06-18,OCCUPIED,Charan Mani,2025-05-09 10:40:47
TH1224,PROP1150,Preet Vihar,2,19400,2024-08-09,2025-07-09,VACANT,Mohammed Subramaniam,2024-03-23 06:33:27
TH1225,PROP1672,Lajpat Nagar,2,33200,2023-11-16,2025-09-16,OCCUPIED,Ishwar Mallick,2025-04-10 14:47:45
TH1226,PROP1578,Ghaziabad Indirapuram,3,22800,2025-12-20,2027-10-20,OCCUPIED,Amara Balakrishnan,2024-02-04 05:58:46
TH1227,PROP1070,Ghaziabad Raj Nagar Extension,4,18600,2025-08-28,2027-06-28,OCCUPIED,Harinakshi Panchal,2023-07-28 06:05:35
TH1228,PROP1361,Faridabad Sector 81,1,7400,2026-02-27,2027-12-27,OCCUPIED,Ekaraj Dhar,2025-10-10 10:59:53
TH1229,PROP1378,Noida Sector 18,1,17500,2026-06-19,2027-05-19,OCCUPIED,Tanveer Puri,2024-10-23 13:58:48
TH1230,PROP1520,Sohna Road Gurgaon,4,33000,2024-07-28,2025-06-28,OCCUPIED,Devika Nair,2025-11-18 18:11:28
TH1231,PROP1830,Dwarka Sector 21,3,35900,2025-04-02,2026-03-02,NOTICE_PERIOD,Charles Dugal,2024-01-10 00:58:46
TH1232,PROP1462,DLF Phase 5,3,62500,2025-05-27,2026-04-27,OCCUPIED,Anita Savant,2025-07-15 20:42:52
TH1233,PROP1177,Saket,2,29400,2025-01-02,2026-11-02,OCCUPIED,Oeshi Mahajan,2024-03-13 18:24:17
TH1234,PROP1625,Gurgaon Sector 56,3,32600,2025-02-01,2026-12-01,OCCUPIED,Qushi Choudhry,2024-05-26 22:08:21
TH1235,PROP1794,North Delhi,1,11100,2025-08-01,2027-06-01,OCCUPIED,Darika Bath,2024-03-19 04:33:45
TH1236,PROP1097,Sohna Road Gurgaon,3,23700,2026-07-02,2027-06-02,OCCUPIED,Abhimanyu Jayaraman,2024-06-15 20:02:12
TH1237,PROP1597,Golf Course Extension Road,3,37400,2024-03-08,2026-01-08,OCCUPIED,Aadhya Mann,2024-07-15 02:15:10
TH1238,PROP1726,Gurgaon Golf Course Road,3,63900,2023-07-29,2025-05-29,VACANT,Parth Dayal,2024-09-10 03:56:56
TH1239,PROP1687,Faridabad Neharpar,1,6400,2025-08-29,2027-06-29,OCCUPIED,Ekbal Ranganathan,2026-02-19 19:35:10
TH1240,PROP1019,West Delhi,3,22000,2023-09-05,2024-08-05,OCCUPIED,Tripti Brahmbhatt,2026-02-20 04:40:33
TH1241,PROP1785,Faridabad Sector 15,2,13100,2025-04-11,2026-03-11,OCCUPIED,Omisha Mann,2023-11-24 18:16:26
TH1242,PROP1303,DLF Phase 5,1,27000,2023-08-12,2024-07-12,OCCUPIED,Onveer Sharma,2026-01-18 05:32:45
TH1243,PROP1158,Gurgaon Sector 56,2,25900,2026-04-23,2027-03-23,OCCUPIED,Rajeshri Cherian,2024-04-13 04:05:20
TH1244,PROP1045,Greater Noida,3,17500,2025-04-25,2026-03-25,NOTICE_PERIOD,Meghana Mukherjee,2025-10-15 18:09:57
TH1245,PROP1626,Noida Sector 18,4,43800,2024-03-19,2025-02-19,OCCUPIED,Faraj Uppal,2025-06-14 09:36:49
TH1246,PROP1829,Ghaziabad Raj Nagar Extension,2,9700,2025-02-21,2026-12-21,OCCUPIED,Ikshita Panchal,2025-09-25 13:37:10
TH1247,PROP1289,Sohna Road Gurgaon,4,36000,2026-01-02,2026-12-02,VACANT,Warinder Chauhan,2023-12-29 00:36:43
TH1248,PROP1142,Preet Vihar,1,14100,2024-02-22,2025-12-22,OCCUPIED,Faqid Goel,2026-05-28 21:55:23
TH1249,PROP1106,Faridabad Neharpar,1,5900,2025-06-07,2026-05-07,OCCUPIED,Saumya Naidu,2026-02-22 12:52:10
TH1250,PROP1928,Faridabad Sector 81,2,13000,2025-06-06,2026-05-06,NOTICE_PERIOD,Ria Bir,2024-12-16 08:52:35
TH1251,PROP1228,Ghaziabad Indirapuram,3,23200,2025-06-11,2027-04-11,OCCUPIED,Daksh Pandey,2025-01-27 11:06:27
TH1252,PROP1515,West Delhi,2,16500,2024-06-24,2025-05-24,OCCUPIED,Baljiwan Bhandari,2024-08-28 14:19:24
TH1253,PROP1029,Noida Sector 76,1,12700,2024-05-30,2026-03-30,VACANT,Yashica Rajagopalan,2024-12-09 13:35:07
TH1254,PROP1141,Saket,3,43100,2025-03-18,2027-01-18,OCCUPIED,Shivani Guha,2024-07-07 20:48:24
TH1255,PROP1143,Ghaziabad Raj Nagar Extension,4,18500,2024-12-22,2025-11-22,OCCUPIED,David Seshadri,2023-11-11 23:20:43
TH1256,PROP1221,Golf Course Extension Road,4,45700,2026-03-31,2028-01-31,OCCUPIED,Frado Thaman,2025-06-28 12:54:45
TH1257,PROP1125,Hauz Khas,2,37300,2023-09-01,2025-07-01,OCCUPIED,Reva Viswanathan,2025-02-13 08:22:44
TH1258,PROP1857,Faridabad Sector 15,1,9400,2024-01-10,2024-12-10,OCCUPIED,Barkha Ram,2024-10-11 11:03:02
TH1259,PROP1299,Greater Noida Pari Chowk,1,7300,2024-07-25,2025-06-25,OCCUPIED,Gaurika Bhatti,2024-07-16 19:29:51
TH1260,PROP1192,Gurgaon Golf Course Road,3,56500,2025-03-22,2026-02-22,OCCUPIED,Bhanumati Krishnan,2025-09-21 13:45:14
TH1261,PROP1482,Saket,4,56200,2025-07-08,2027-05-08,OCCUPIED,Gauri Bumb,2025-04-20 01:59:30
TH1262,PROP1366,Lajpat Nagar,3,39400,2023-12-22,2024-11-22,VACANT,Dayita Ramanathan,2023-12-09 20:36:19
TH1263,PROP1753,North Delhi,2,14300,2025-09-04,2027-07-04,VACANT,Dayita Puri,2025-06-25 15:39:00
TH1264,PROP1180,Ghaziabad Vasundhara,4,24100,2024-07-14,2025-06-14,OCCUPIED,Girik Sampath,2025-01-28 17:23:29
TH1265,PROP1795,Ghaziabad Vasundhara,1,8000,2023-08-09,2024-07-09,VACANT,Pranit Kala,2024-07-30 00:09:31
TH1266,PROP1908,Saket,3,43300,2025-11-05,2027-09-05,NOTICE_PERIOD,Upkaar Devan,2024-01-07 08:09:50
TH1267,PROP1557,Ghaziabad Raj Nagar Extension,3,12400,2024-06-08,2025-05-08,OCCUPIED,Yashica Zacharia,2026-01-21 14:54:26
TH1268,PROP1883,Hauz Khas,3,50300,2026-03-14,2028-01-14,OCCUPIED,Gayathri Deep,2025-05-05 23:29:03
TH1269,PROP1410,Ghaziabad Indirapuram,4,26000,2024-01-05,2024-12-05,OCCUPIED,Noah Sarma,2023-09-07 10:31:10
TH1270,PROP1510,West Delhi,3,25500,2024-08-22,2026-06-22,OCCUPIED,Sachi Mane,2025-10-22 23:22:07
TH1271,PROP1617,Gurgaon Sector 45,3,29500,2025-11-25,2026-10-25,OCCUPIED,William More,2026-06-13 14:05:33
TH1272,PROP1303,Noida Sector 62,4,36900,2025-11-25,2027-09-25,OCCUPIED,Jhalak Sastry,2024-12-08 10:27:18
TH1273,PROP1455,East Delhi,4,24000,2024-05-24,2026-03-24,OCCUPIED,Yadavi Wable,2024-10-22 07:10:06
TH1274,PROP1446,Noida Sector 150,1,12800,2024-01-14,2025-11-14,OCCUPIED,Lakshit Krishna,2023-09-16 17:42:51
TH1275,PROP1821,Gurgaon Sector 56,1,14300,2024-12-28,2026-10-28,OCCUPIED,Harshil Varty,2026-02-08 04:52:45
TH1276,PROP1069,Pitampura,3,31100,2024-05-28,2025-04-28,OCCUPIED,Anjali Sengupta,2026-04-08 12:37:06
TH1277,PROP1696,Ghaziabad Indirapuram,3,20400,2023-12-29,2024-11-29,OCCUPIED,Gavin Kapadia,2026-01-01 10:36:06
TH1278,PROP1543,West Delhi,4,29200,2026-03-15,2028-01-15,OCCUPIED,Oeshi Bera,2024-09-27 23:11:18
TH1279,PROP1117,Vasant Kunj,2,32000,2024-09-02,2026-07-02,VACANT,Finn Prasad,2024-03-23 14:17:09
TH1280,PROP1121,Preet Vihar,3,30800,2024-07-03,2025-06-03,NOTICE_PERIOD,Gautami Dhingra,2023-12-19 08:01:20
TH1281,PROP1293,Faridabad Sector 15,2,12700,2024-05-30,2025-04-30,OCCUPIED,Liam Singh,2024-11-24 02:31:33
TH1282,PROP1921,Ghaziabad Indirapuram,1,10500,2023-07-26,2025-05-26,OCCUPIED,Anirudh Kunda,2024-03-13 20:39:38
TH1283,PROP1727,Lajpat Nagar,3,45900,2023-12-31,2024-11-30,OCCUPIED,Indrajit Mani,2024-04-06 22:49:08
TH1284,PROP1950,Gurgaon Sector 45,3,30900,2023-12-01,2024-11-01,NOTICE_PERIOD,Oni Shankar,2023-09-28 09:11:05
TH1285,PROP1812,Central Delhi,2,44900,2026-01-22,2026-12-22,OCCUPIED,Amol Varma,2025-04-11 15:42:41
TH1286,PROP1587,West Delhi,4,32800,2025-09-14,2026-08-14,OCCUPIED,Pushti Agarwal,2025-05-25 05:20:50
TH1287,PROP1089,Lajpat Nagar,3,41000,2024-04-09,2026-02-09,OCCUPIED,Rachit Chada,2025-02-14 03:44:50
TH1288,PROP1788,Greater Noida,1,7100,2024-08-18,2026-06-18,OCCUPIED,Madhavi Singhal,2023-09-07 06:21:52
TH1289,PROP1461,Ghaziabad Vasundhara,3,16600,2024-09-16,2025-08-16,VACANT,Zehaan Babu,2024-08-15 20:07:30
TH1290,PROP1133,Greater Noida Pari Chowk,1,7700,2023-10-02,2024-09-02,OCCUPIED,Hemang Natarajan,2023-12-14 17:50:12
TH1291,PROP1166,Noida Sector 76,2,17300,2024-08-09,2026-06-09,VACANT,Parth Shetty,2026-06-30 06:24:15
TH1292,PROP1257,Dwarka Sector 21,3,31900,2024-12-25,2026-10-25,OCCUPIED,Krishna Bhatnagar,2025-09-13 03:33:53
TH1293,PROP1096,Faridabad Sector 81,2,12300,2026-05-19,2027-04-19,OCCUPIED,Chaaya Jaggi,2023-09-07 13:30:48
TH1294,PROP1640,North Delhi,1,11200,2024-02-24,2025-01-24,OCCUPIED,Diya Mukherjee,2025-02-05 06:42:50
TH1295,PROP1972,Preet Vihar,2,22300,2026-07-08,2028-05-08,OCCUPIED,Zehaan Bansal,2025-10-23 23:01:46
TH1296,PROP1032,Faridabad Sector 15,3,20300,2024-02-15,2025-12-15,OCCUPIED,Champak Narula,2024-05-15 22:22:51
TH1297,PROP1825,Noida Extension,3,19400,2025-12-12,2026-11-12,OCCUPIED,Mugdha Sarraf,2026-03-27 20:03:36
TH1298,PROP1426,Ghaziabad Raj Nagar Extension,4,16700,2024-09-16,2025-08-16,OCCUPIED,Watika Tank,2024-08-27 01:45:08
TH1299,PROP1736,Noida Sector 76,3,28100,2025-12-10,2026-11-10,VACANT,Fitan Samra,2023-10-16 01:05:35
TH1300,PROP1528,DLF Phase 5,3,52500,2025-05-10,2026-04-10,OCCUPIED,Chaaya Nagi,2023-11-10 23:34:24
TH1301,PROP1254,Golf Course Extension Road,1,16200,2024-07-14,2026-05-14,VACANT,Damini Sehgal,2025-05-11 20:50:13
TH1302,PROP1429,Pitampura,2,24700,2024-10-29,2026-08-29,OCCUPIED,Indali Sekhon,2023-09-05 23:21:11
TH1303,PROP1164,Faridabad Sector 15,4,25200,2026-02-27,2027-12-27,OCCUPIED,Radhika Maharaj,2025-06-21 05:49:51
TH1304,PROP1093,Noida Extension,4,28000,2025-12-03,2026-11-03,OCCUPIED,Falan Ravi,2024-08-22 15:37:19
TH1305,PROP1050,Hauz Khas,3,53100,2025-12-14,2027-10-14,OCCUPIED,Azaan Dhar,2026-02-05 11:13:19
TH1306,PROP1009,DLF Phase 5,4,65700,2025-08-01,2027-06-01,OCCUPIED,Bakhshi Date,2023-10-03 05:34:55
TH1307,PROP1783,Noida Extension,3,17500,2025-11-19,2026-10-19,OCCUPIED,Janaki Rajagopal,2026-05-26 21:55:47
TH1308,PROP1200,West Delhi,3,21400,2023-08-25,2025-06-25,VACANT,Shivani Prabhakar,2024-09-01 04:28:02
TH1309,PROP1287,Cyber City Gurgaon,2,39000,2025-11-02,2027-09-02,OCCUPIED,Jeevika Rao,2024-06-30 01:00:34
TH1310,PROP1348,West Delhi,2,15800,2024-05-21,2026-03-21,OCCUPIED,Atharv Grewal,2025-01-18 09:01:34
TH1311,PROP1047,Saket,2,29400,2024-09-16,2026-07-16,OCCUPIED,Adweta Lad,2025-08-30 23:48:25
TH1312,PROP1153,Faridabad Sector 81,2,11500,2024-03-11,2026-01-11,OCCUPIED,Vritti Iyengar,2023-12-02 22:33:29
TH1313,PROP1632,Noida Sector 62,3,28000,2026-02-08,2027-12-08,OCCUPIED,Orinder Saxena,2026-07-18 06:48:58
TH1314,PROP1307,Ghaziabad Raj Nagar Extension,1,6300,2025-12-24,2026-11-24,NOTICE_PERIOD,Idika Bhattacharyya,2025-03-15 04:57:23
TH1315,PROP1598,Noida Sector 62,1,13300,2024-06-02,2026-04-02,NOTICE_PERIOD,Nakul Ghosh,2025-12-07 05:35:00
TH1316,PROP1802,Janakpuri,1,14600,2025-01-28,2025-12-28,OCCUPIED,Sai Dewan,2024-04-05 23:02:42
TH1317,PROP1739,Sohna Road Gurgaon,2,19400,2025-01-11,2025-12-11,OCCUPIED,Jyoti Sibal,2025-12-18 03:38:41
TH1318,PROP1971,Cyber City Gurgaon,2,31000,2025-03-16,2027-01-16,OCCUPIED,Dominic More,2024-09-29 20:03:07
TH1319,PROP1423,Rohini Sector 10,4,36000,2025-09-13,2027-07-13,VACANT,Nirja Rout,2026-01-08 17:06:51
TH1320,PROP1754,Hauz Khas,2,38200,2023-10-09,2025-08-09,NOTICE_PERIOD,Ethan Sengupta,2024-12-12 23:40:24
TH1321,PROP1490,Faridabad Neharpar,4,16300,2025-02-06,2026-01-06,OCCUPIED,Qabil Dayal,2024-11-06 14:12:42
TH1322,PROP1546,North Delhi,3,23300,2026-04-13,2028-02-13,OCCUPIED,Jeet Vasa,2024-01-05 05:25:05
TH1323,PROP1197,Pitampura,3,32600,2024-01-17,2024-12-17,NOTICE_PERIOD,Umang Pal,2026-05-24 17:45:24
TH1324,PROP1305,Noida Sector 18,2,27200,2025-02-08,2026-12-08,OCCUPIED,Farhan Krishna,2024-02-21 15:44:02
TH1325,PROP1358,Noida Sector 150,3,28000,2026-06-02,2028-04-02,VACANT,Jeremiah Mitter,2025-05-24 19:19:11
TH1326,PROP1405,East Delhi,2,14200,2023-10-31,2025-08-31,NOTICE_PERIOD,Mitesh Garg,2025-07-12 08:24:37
TH1327,PROP1081,East Delhi,4,28000,2025-09-17,2027-07-17,OCCUPIED,Benjamin Balakrishnan,2023-10-18 13:28:03
TH1328,PROP1848,Noida Sector 150,3,28100,2026-05-24,2027-04-24,OCCUPIED,Shivansh Saha,2025-05-28 20:05:52
TH1329,PROP1686,Faridabad Neharpar,2,9800,2023-08-23,2024-07-23,OCCUPIED,Chasmum Subramanian,2024-04-14 21:09:01
TH1330,PROP1339,Ghaziabad Raj Nagar Extension,1,6800,2025-12-21,2026-11-21,OCCUPIED,Chameli Setty,2023-10-09 12:31:10
TH1331,PROP1564,Gurgaon Sector 56,4,44800,2023-09-24,2025-07-24,OCCUPIED,Ojasvi Sule,2024-12-11 11:05:34
TH1332,PROP1205,Noida Sector 18,3,34500,2024-07-27,2025-06-27,VACANT,Dhriti Nagar,2025-10-03 00:59:02
TH1333,PROP1092,Janakpuri,1,15700,2026-02-17,2027-01-17,OCCUPIED,Kalpit Prabhakar,2025-02-04 20:06:15
TH1334,PROP1858,Gurgaon Sector 45,1,16000,2023-11-14,2025-09-14,VACANT,Unnati Das,2024-05-09 15:18:18
TH1335,PROP1191,Noida Sector 18,1,14900,2024-04-17,2025-03-17,VACANT,Chandresh Mannan,2026-05-22 10:34:43
TH1336,PROP1344,Noida Sector 18,4,52300,2026-02-21,2027-12-21,VACANT,Yuvraj Dutta,2025-12-28 21:46:55
TH1337,PROP1138,Faridabad Sector 81,4,20400,2026-05-08,2027-04-08,OCCUPIED,Ranveer Dutta,2025-01-17 12:33:21
TH1338,PROP1749,Ghaziabad Vasundhara,3,19200,2025-02-03,2026-01-03,OCCUPIED,Darika Tank,2023-08-15 23:00:03
TH1339,PROP1810,Noida Sector 18,2,24000,2026-05-21,2028-03-21,VACANT,Wridesh Kale,2025-04-20 17:53:27
TH1340,PROP1528,Noida Sector 76,1,11400,2023-09-12,2024-08-12,OCCUPIED,Warda Singhal,2024-05-29 15:55:57
TH1341,PROP1144,Ghaziabad Raj Nagar Extension,3,15500,2023-07-29,2024-06-29,OCCUPIED,Raagini Desai,2026-03-14 11:42:46
TH1342,PROP1242,Ghaziabad Indirapuram,3,23300,2025-09-24,2027-07-24,OCCUPIED,Jasmit Bath,2024-10-02 11:44:04
TH1343,PROP1587,South Delhi,3,50800,2025-04-05,2026-03-05,OCCUPIED,Janani Mani,2023-10-10 03:12:45
TH1344,PROP1122,Ghaziabad Vasundhara,3,16700,2025-01-23,2026-11-23,OCCUPIED,Jagat Dave,2026-06-23 23:33:11
TH1345,PROP1655,Noida Sector 18,3,37400,2024-09-24,2025-08-24,NOTICE_PERIOD,Jasmit Dhawan,2024-02-24 16:12:30
TH1346,PROP1490,Golf Course Extension Road,4,53400,2025-01-28,2026-11-28,OCCUPIED,Chakradev Barad,2023-12-18 17:12:40
TH1347,PROP1563,Ghaziabad Raj Nagar Extension,2,10600,2024-07-19,2025-06-19,OCCUPIED,Zilmil Shan,2023-12-31 18:15:42
TH1348,PROP1541,West Delhi,1,12200,2026-03-24,2027-02-24,OCCUPIED,Falak Nagar,2024-01-15 14:53:21
TH1349,PROP1561,Faridabad Sector 81,2,12200,2026-07-09,2027-06-09,OCCUPIED,Gayathri Tripathi,2026-01-14 03:17:07
TH1350,PROP1875,Faridabad Neharpar,4,15500,2025-02-22,2026-01-22,OCCUPIED,Vaishnavi Badal,2024-08-28 04:20:09
TH1351,PROP1501,Gurgaon Golf Course Road,4,87000,2025-07-27,2027-05-27,OCCUPIED,Darika Bala,2025-05-05 14:37:36
TH1352,PROP1426,Ghaziabad Vasundhara,1,8600,2024-05-06,2026-03-06,OCCUPIED,Charan Srinivasan,2024-01-24 09:31:51
TH1353,PROP1406,Preet Vihar,1,14500,2025-06-08,2026-05-08,OCCUPIED,Manbir Kibe,2023-08-25 03:44:46
TH1354,PROP1353,Lajpat Nagar,1,21500,2026-05-24,2027-04-24,NOTICE_PERIOD,Rayaan Bahl,2024-11-15 19:38:31
TH1355,PROP1484,Saket,3,38300,2024-10-21,2025-09-21,VACANT,Samar Roy,2025-01-21 10:00:55
TH1356,PROP1747,Greater Noida,3,18800,2025-05-20,2027-03-20,OCCUPIED,David Devi,2025-02-08 21:29:06
TH1357,PROP1940,Sohna Road Gurgaon,4,29100,2025-03-26,2026-02-26,OCCUPIED,Krisha Murthy,2026-06-03 19:45:13
TH1358,PROP1357,Cyber City Gurgaon,2,39100,2024-12-05,2026-10-05,OCCUPIED,Irya Lalla,2025-05-20 00:52:55
TH1359,PROP1746,Janakpuri,1,15200,2024-02-16,2025-12-16,OCCUPIED,Arya Misra,2024-03-23 22:55:08
TH1360,PROP1737,Greater Noida Pari Chowk,4,21300,2026-06-20,2027-05-20,OCCUPIED,Bhavya Johal,2025-08-15 20:57:34
TH1361,PROP1159,Noida Sector 150,2,24300,2025-01-06,2025-12-06,OCCUPIED,Ikshita Mahal,2024-05-31 21:36:19
TH1362,PROP1677,Greater Noida,1,7300,2025-04-08,2026-03-08,OCCUPIED,Megha Pai,2026-06-01 13:08:38
TH1363,PROP1035,Ghaziabad Indirapuram,1,9200,2025-12-18,2026-11-18,OCCUPIED,Brijesh Mani,2026-06-02 07:40:47
TH1364,PROP1240,Rohini Sector 10,1,11900,2023-10-15,2025-08-15,OCCUPIED,Aahana Srinivas,2024-03-12 00:47:54
TH1365,PROP1939,Noida Sector 76,3,23600,2026-01-12,2026-12-12,NOTICE_PERIOD,Anita Devan,2023-11-18 05:53:22
TH1366,PROP1534,Janakpuri,4,37700,2025-10-09,2026-09-09,OCCUPIED,Xavier Bedi,2025-07-24 12:20:19
TH1367,PROP1606,Gurgaon Sector 45,4,40100,2025-02-21,2026-01-21,NOTICE_PERIOD,Charles Chaudhry,2024-10-16 10:13:45
TH1368,PROP1965,Sohna Road Gurgaon,3,26400,2025-09-13,2027-07-13,OCCUPIED,Laksh Ahluwalia,2026-06-12 09:44:51
TH1369,PROP1386,Gurgaon Sector 45,4,37100,2026-06-25,2027-05-25,OCCUPIED,Niharika Soni,2024-12-25 17:07:29
TH1370,PROP1725,Golf Course Extension Road,4,55400,2024-02-24,2025-12-24,NOTICE_PERIOD,Ekani Mangal,2025-06-28 06:53:09
TH1371,PROP1571,Faridabad Neharpar,2,9200,2026-04-10,2028-02-10,OCCUPIED,Vincent Warrior,2025-10-07 22:58:25
TH1372,PROP1663,Gurgaon Golf Course Road,4,87700,2026-02-06,2027-01-06,OCCUPIED,Parth Sahni,2026-03-14 06:10:14
TH1373,PROP1850,Dwarka Sector 21,1,15300,2024-01-29,2024-12-29,VACANT,Mekhala Tandon,2024-02-10 17:00:59
TH1374,PROP1193,Rohini Sector 10,4,33500,2025-10-18,2027-08-18,OCCUPIED,Baljiwan Andra,2024-06-12 12:25:51
TH1375,PROP1931,South Delhi,2,38700,2025-05-11,2026-04-11,OCCUPIED,Bhavani Sha,2026-07-09 08:09:11
TH1376,PROP1773,Ghaziabad Raj Nagar Extension,2,10500,2025-03-06,2026-02-06,OCCUPIED,Krish Thaman,2024-12-15 09:12:02
TH1377,PROP1246,Noida Sector 76,3,24500,2024-02-17,2025-12-17,OCCUPIED,Ganga Gaba,2025-09-29 15:58:28
TH1378,PROP1369,Faridabad Sector 81,4,21400,2025-06-29,2027-04-29,VACANT,Akshay Nazareth,2025-12-04 00:33:58
TH1379,PROP1328,Rohini Sector 10,3,26700,2025-04-02,2026-03-02,OCCUPIED,Parth Ravi,2026-01-12 17:06:37
TH1380,PROP1227,Golf Course Extension Road,1,17200,2025-02-04,2026-12-04,OCCUPIED,Nandini Chandran,2024-02-09 00:46:13
TH1381,PROP1201,North Delhi,2,15500,2023-12-21,2024-11-21,OCCUPIED,Yuvraj Ahuja,2024-05-02 07:28:15
TH1382,PROP1671,North Delhi,3,23800,2024-04-03,2026-02-03,NOTICE_PERIOD,Forum Mittal,2025-04-19 18:39:39
TH1383,PROP1658,Faridabad Sector 15,4,23200,2025-04-08,2027-02-08,OCCUPIED,Jagvi Keer,2023-09-27 15:13:42
TH1384,PROP1738,Faridabad Sector 15,2,15400,2023-11-27,2024-10-27,OCCUPIED,Nathaniel Ravi,2025-08-11 07:23:51
TH1385,PROP1860,Lajpat Nagar,1,20700,2026-04-26,2028-02-26,OCCUPIED,Jacob Merchant,2024-08-27 06:55:56
TH1386,PROP1646,Janakpuri,1,15000,2024-03-18,2025-02-18,OCCUPIED,Vanya Dua,2024-12-01 02:13:44
TH1387,PROP1467,West Delhi,1,11400,2026-07-07,2028-05-07,OCCUPIED,Ojasvi Sinha,2025-10-28 09:47:10
TH1388,PROP1017,South Delhi,4,55600,2025-12-15,2027-10-15,OCCUPIED,Yug Bumb,2025-02-16 08:55:23
TH1389,PROP1294,Vasant Kunj,4,61800,2025-02-18,2026-01-18,OCCUPIED,Faras Choudhury,2023-09-27 05:35:46
TH1390,PROP1099,Faridabad Neharpar,2,8900,2025-03-11,2027-01-11,VACANT,Mason Gala,2024-07-15 02:07:44
TH1391,PROP1274,Noida Extension,1,8800,2025-02-09,2026-12-09,OCCUPIED,Samesh Suresh,2023-10-29 05:02:43
TH1392,PROP1250,Janakpuri,3,32200,2025-01-29,2025-12-29,OCCUPIED,Sudiksha Deo,2025-02-02 22:32:59
TH1393,PROP1879,Saket,1,17800,2024-12-02,2026-10-02,OCCUPIED,Turvi Morar,2025-09-21 01:49:34
TH1394,PROP1058,South Delhi,2,31500,2024-09-26,2026-07-26,OCCUPIED,Tejas Bora,2023-09-09 04:31:34
TH1395,PROP1340,DLF Phase 5,1,24300,2024-08-01,2026-06-01,OCCUPIED,Darpan Biswas,2026-07-06 02:15:17
TH1396,PROP1947,Lajpat Nagar,3,46000,2024-12-18,2025-11-18,OCCUPIED,Nilima Gole,2025-11-10 03:24:04
TH1397,PROP1871,Noida Sector 76,1,13000,2025-11-05,2026-10-05,VACANT,Kavya Raja,2024-11-24 00:50:02
TH1398,PROP1730,Noida Extension,1,8700,2026-04-20,2027-03-20,OCCUPIED,Keya Buch,2025-08-07 15:28:43
